label,n,mode,days,T_min,T_max,T_avg,P_base,s_h,T_h,s_c,T_c,R2,R2_net_h,R2_net_c,b_h,m_h,SF_cold,R2_SFh,b_c,m_c,SF_hot,R2_SFc,cap_h,cap_c,heat_frac,cool_frac
German WPuQ (real HP),37,heating hockey,365,-5.398958353480945,28.16562495628993,10.886335633503332,15.888875736333475,3.8937334012508185,13.870608257408664,,,0.840664391974639,0.7228895433203295,,0.013716862935265346,0.015810258640217956,0.3183736949383382,0.7156870620518412,,,,,238.514,0.0,1.0,0.0
Swiss substation (real HP),50,heating hockey,365,-8.24843692779541,26.532812118530273,11.55743722724537,19.675197631380957,4.876183025163226,16.94046957184167,,,0.9669648050584643,0.9370676040343097,,0.021907524506698018,0.01651605888490459,0.43792898750106,0.9460142156096412,,,,,282.97200065994264,0.0,1.0,0.0
Austin Pecan St (real),22,bathtub,365,-2.7375000000000003,33.891666666666666,20.469747349612863,12.462866567121873,0.680036057118058,11.202656090240492,3.049047890365933,19.83684999837206,0.9600546451038439,0.6794772160152831,0.9147021470031004,0.07838063280964766,0.018610074886875192,0.33780798158375247,0.8391495445515684,0.025024744685850607,0.03324731131609718,0.4923096099473131,0.9363339624053043,30.85691900000016,95.29104700000036,0.2748092394031335,0.7251907605968665
ResStock ASHP -- Hennepin MN (cold),150,heating hockey,366,-22.096086956521738,30.428749999999997,7.476421210501306,117.72078987798822,42.33459692479203,8.000000000000002,,,0.8079267520397855,0.7370807847171417,,-0.04622144785665238,0.016475133555595666,0.44961560425286395,0.7699230823961735,,,,,3034.272,324.4719999999999,0.9213115747925507,0.0786884252074493
ResStock ASHP -- King WA (mild),150,bathtub,366,-0.42625,25.53833333333333,12.658705304110239,145.58495387584836,21.108289659662734,13.34471056439155,11.036926470566684,18.365670663456786,0.9368662757115154,0.8918520076012441,0.9278250958876446,0.03588572910771425,0.035584897782247535,0.5259239531549493,0.9023806364684203,0.09104665844858617,0.03839640911343073,0.3664511487537983,0.9598647746400679,544.104,271.39199999999994,0.8232309957688078,0.17676900423119227
ResStock ASHP -- Maricopa AZ (hot),150,bathtub,366,5.6,40.46458333333333,24.69614392769462,171.6546409601205,15.346904707773575,11.615856166481672,25.71791711883657,26.033040186769846,0.9748146933820361,0.8308606437908372,0.9484126934713034,0.14365703827219223,0.06305785733099986,0.5230040381420094,0.8612608951155364,0.04715718720691166,0.02409269453868525,0.39485194795892226,0.9515668576859313,195.86400000000003,1002.1199999999995,0.05846830275024267,0.9415316972497573
COFACTOR Norway (real HP),849,heating hockey,1462,-11.557916666666666,25.445833333333336,7.782951247632605,515.574496468462,52.46718730110151,15.190082872135921,,,0.9238609947906898,0.8844167913408929,,0.1225625965686708,0.02575174146190516,0.8113701653150736,0.8023341582145439,,,,,1351.8137300000049,0.0,1.0,0.0
Carleton Ottawa (real AC),12,cooling hockey,334,-20.0,26.1,6.630838323353293,9.994122495406934,,,1.1978488478623983,18.77379206647825,0.4909084536599916,,0.7551107274664365,,,,,0.040722157684189395,0.043208051265110896,0.35727332565465936,0.8429482056504262,0.0,22.734360000025475,0.0,1.0
LCL London ASHP (real HP),6,heating hockey,821,-2.0460234640712067,23.949764694706833,9.81548400757925,1.2051874444654982,0.808717957973034,13.345936563081521,,,0.8164881003898778,0.7091190751970338,,0.04335702229767415,0.02909389967156005,0.4911691630763183,0.7091190751970339,,,,,27.796822266704403,0.0,1.0,0.0
