label,n,mode,days,T_min,T_max,T_avg,P_base,s_h,T_h,s_c,T_c,R2,R2_net_h,R2_net_c,b_h,m_h,SF_cold,R2_SFh,b_c,m_c,SF_hot,R2_SFc,cap_h,cap_c,heat_frac,cool_frac
NEEA WA (real HP),22,bathtub,332,-4.708287891876327,26.672169452060757,11.37278028646377,24.561568793353,2.3562008909545757,14.613386502998186,2.024084007163673,21.251584238245798,0.9508236701823769,0.8952204154479054,0.7883255179895269,0.05789720901187378,0.02430498188897818,0.5275101552440322,0.9084380636561571,0.06673262919216824,0.03143657917030386,0.2371372854156407,0.8297658018296319,34.17267600000017,34.17267600000017,0.9081015245175578,0.09189847548244226
NEEA OR (real HP),21,bathtub,341,-4.537147793726741,26.87665343915344,10.749849309972388,24.570357734755234,2.1292098569485707,13.289384815164263,2.036486503691554,21.8208663516114,0.9288316973392858,0.867842513092084,0.7514112944450948,0.04367222242986383,0.023440407044741905,0.4615334029786338,0.9125996936101528,0.09714689187764698,0.023591125907721278,0.21641860162248272,0.7949881931855647,35.682857000000105,35.682857000000105,0.9066585059934907,0.09334149400650929
